S.No.,Name,CMP(Rs),P/E,Mar Cap(Rs.Cr),Div Yld(%),NP Qtr(Rs.Cr),Qtr Profit Var(%),Sales Qtr(Rs.Cr.),Qtr Sales Var(%),ROCE(%),Company Name
1.,Adani Ports,1513.60,36.89,326958.63,0.40,2014.77,2.53,6896.50,18.97,12.93,Marine Port & Services
2.,JSW Infrast,356.15,64.70,74791.55,0.16,329.08,9.53,1096.38,19.78,16.61,Marine Port & Services
3.,Guj Pipavav Port,232.00,29.55,11215.83,3.14,65.84,-5.26,251.28,7.05,22.66,Marine Port & Services
,Median: 3 Co.,356.15,36.89,74791.55,0.4,329.08,2.53,1096.38,18.97,16.61,Marine Port & Services
